name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature,lyrics,mood
1999,1999,Prince,2H7PHVdQ3mXqEHXcvclTB0,1982-10-27,68,379266,0.866,0.13699999999999998,0.73,0.0,0.0843,0.625,-8.201,0.0767,118.523,5,4,"
Don't worry, I won't hurt you...
I only want you to have some fun


(I was dreamin' when I wrote this
Forgive me if it goes astray)
But when I woke up this morning
I could have sworn it was judgement day
The sky was all purple
There were people runnin' everywhere
(Tryin' to run from the destruction
And you know I didn't even care)


'Cause they say...
(2000 zero zero, party over, oops, out of time
So tonight I'm gonna party like it's 1999)


(I was dreamin' when I wrote this
So sue me if I go too fast)
But life is just a party
And parties weren't meant to last
War is all around us
My mind says prepare to fight
(So if I gotta die
I'm gonna listen to my body tonight)
Yeah


'Cause they say...
(2000 zero zero, party over, oops, out of time
So tonight I'm gonna party like it's 1999)


Lemme tell ya somethin'...
(If you didn't come to party
Don't bother knockin' on my door)
(I got a lion in my pocket
And baby he's ready to roar)
Everybody's got a bomb
We could all die any day, Oh
(But before I'll let that happen
I'll dance my life away)


'Cause they say...
(2000 zero zero, party over, oops, out of time)
We're runnin' outta time
(So Tonight I'm gonna party like it's 1999)
So tonight we gonna, we gonna...Ow!
Say it one more time
(2000 zero zero, party over, oops, out of time)
No, no...
(Tonight I'm gonna party like it's 1999)
So tonight we gonna, we gonna...Woo!


Alright, it's 1999
You say it, 1999
1999,1 999
Don't stop, don't stop, say it one more time!
(2000 zero zero, party over, oops, out of time)
Yeah, Yeah
(So tonight I'm gonna party like it's 1999)
So tonight we gonna, we gonna, Woo!


Yeah, 1999 1999
Don'tcha wanna go? 1999
Don'tcha wanna go? 1999
We could all die any day 1999
I don't wanna die
I'd rather dance my life away 1999
Listen to what I'm tryin' to say...
Everybody, everybody say party
C'mon now, you say party
That's right, everybody say (Party)
Can't run from the revelation, no (Party)
Sing it for your nation y'all (Party)
Tell me what you're singin', baby say (Party)
Telephone's a-ringin', mama (Party)
C'mon, c'mon, you say (Party)
Everybody, two times (Party)
Work it down to the ground, say (Party)
Ooh, ooh, ooh, ooh (Party)
Come on, (Oh, take my body, baby) (Party)
That's right, c'mon, sing the song (Party)
(Ohhh) (Party)
That's right (Party)
Got a lion in my pocket mama, say (Party)
Oh, and he's ready to roar (Party)
Ahhhh...


Mommy, why does everybody have a bomb?
Mommy, why does everybody have a bomb?",Happy
23,23,Blonde Redhead,4HIwL9ii9CcXpTOTzMq0MP,2007-04-16,43,318800,0.381,0.0189,0.8320000000000001,0.196,0.153,0.166,-5.069,0.0492,120.255,8,4,"23

23 seconds, all things we love will die
23 magic, if you can change your life

Your tainted heart, my tainted love, repent now
How many times ?
As long as you live, how many times ?
The world will go around

He was a friend of mine, he was a son of god ... he was a son of a gun

23 seconds, in you I see a chance
23 magic, if you change the name of love

Your crazy heart, my crazy love, repent now
How many times ? As long as you wish
How many times ? The world will go around
How many times ? As long as you want
How many times ? The world will go around

He was a friend of mine, he was a son of a gun ... he was a son of god

23",Sad
9 Crimes,9,Damien Rice,5GZEeowhvSieFDiR8fQ2im,2006-11-06,60,217946,0.34600000000000003,0.913,0.139,7.730000000000001e-05,0.0934,0.116,-15.326,0.0321,136.168,0,4,"
Leave me out with the waste
This is not what I do
It's the wrong kind of place
To be thinking of you


It's the wrong time
For somebody new
It's a small crime
And I got no excuse


And is that all right, yeah?
Give my gun away when it's loaded
That all right, yeah?
If you don't shoot it, how am I supposed to hold it?
That all right, yeah?
Give my gun away when it's loaded
That all right, yeah, with you?


Leave me out with the waste
This is not what I do
It's the wrong kind of place
To be cheating on you


It's the wrong time
She's pulling me through
It's a small crime
And I got no excuse


And is that all right, yeah?
To give my gun away when it's loaded
(Is that all right with you?)
Is that all right, yeah?
If you don't shoot it, how am I supposed to hold it?
(Is that all right with you?)
Is that all right, yeah?
If I give my gun away when it's loaded
(Is that all right with you?)
Is that all right?
That all right with you?


That all right, yeah?
If I give my gun away when it's loaded
(Is that all right with you?)
Is that all right, yeah?
You don't shoot it, how am I supposed to hold it?
(Is that all right with you?)
Is that all right, yeah?
If I give my gun away when it's loaded
(Is that all right with you?)
Is that all right?
Is that all right with you?


And is that all right, yeah?
(To give my gun away when it's loaded)
Is that all right, yeah?
(You don't shoot it, how am I supposed to hold it?)
Is that all right, yeah?
(To give my gun away when it's loaded)
Is that all right? Is that all right?
Is that all right with you? No",Sad
A Boy Brushed Red Living In Black And White,They're Only Chasing Safety,Underoath,47IWLfIKOKhFnz1FUEUIkE,2004-01-01,60,268000,0.419,0.00171,0.932,0.0,0.13699999999999998,0.445,-3.604,0.106,169.88099999999997,1,4,"
Can you feel your heartbeat racing?
Can you taste the fear in her sweat?
You've done this wrong
It's too far gone, these sheets tell of regret
I admit that I'm just a fool for you
I am just a fool for you


Here is where we both go wrong!


Tonight's your last chance to
Do exactly what you want to
And this could be my night
This is what makes me feel alive, makes you feel alive!
Here is where we both go wrong!
So sign me up and toss this key
'Cause for now we're living!


In this moment that we both ignore the truth
It's all over, it's all over
I feel your heart against mine
So take a breath and close your eyes, eyes!


Your lungs have failed and they've both stopped breathing
My heart is dead, it's way past beating
Something has gone terribly wrong
I'm scared, you're scared, we're scared of this
I never thought we'd make it out alive
I never told you, but it's all in your goodbyes
It's all in your goodbyes


Well, look who's dying now
Slit wrists sleeping with the girl next door
I always knew you were such a sucker for that
It doesn't matter, what you say
You never mattered anyway
I never mattered anyway


In this moment that we both ignore the truth
It's all over, it's all over
I feel your heart against mine
So take a breath and close your eyes, eyes!


Your lungs have failed and they've both stopped breathing
My heart is dead, it's way past beating
Something has gone terribly wrong
I'm scared, you're scared, we're scared of this
I never thought we'd make it out alive
I never told you, but it's all in your goodbyes
It's all in your goodbyes


Don't shake, I hate to see you tremble!
Trembling, you've lost your touch!
Haven't you?
I'm so addicted!
So addicted!


Your lungs have failed and they've both stopped breathing
My heart is dead, it's way past beating
Something has gone terribly wrong
Gone wrong!
Your lungs have failed and they've both stopped breathing
My heart is dead, it's way past beating
Something has gone terribly wrong
I'm scared, you're scared, we're scared of this
I never thought we'd make it out alive
I never told you, but it's all in your goodbyes
It's all in your goodbyes


I never thought we'd make it out alive
I never thought we'd make it out alive
I never thought we'd make it out alive
It's all in your goodbyes",Energetic
A Little Less Conversation - JXL Radio Edit Remix,Elvis 75 - Good Rockin' Tonight,Elvis Presley,4l2hnfUx0esSbITQa7iJt0,2009-12-28,1,211173,0.586,0.000155,0.935,0.277,0.159,0.58,-9.386,0.0482,114.997,4,4,"
A little less conversation, a little more action please
All this aggravation ain't satisfactioning me
A little more bite and a little less bark
A little less fight and a little more spark
Close your mouth and open up your heart and baby satisfy me
Satisfy me baby


Baby close your eyes and listen to the music
Drifting through a summer breeze
It's a groovy night and I can show you how to use it
Come along with me and put your mind at ease


A little less conversation, a little more action please
All this aggravation ain't satisfactioning me
A little more bite and a little less bark
A little less fight and a little more spark
Close your mouth and open up your heart and baby satisfy me
Satisfy me baby


Come on baby I'm tired of talking
Grab your coat and let's start walking
Come on, come on
Come on, come on
Come on, come on
Don't procrastinate, don't articulate
Girl it's getting late, getting upset waiting around


A little less conversation, a little more action please
All this aggravation ain't satisfactioning me
A little more bite and a little less bark
A little less fight and a little more spark
Close your mouth and open up your heart and baby satisfy me
Satisfy me baby",Happy
A Place for My Head,Hybrid Theory (Bonus Edition),Linkin Park,5rAxhWcgFng3s570sGO2F8,2000-10-24,68,184640,0.603,0.0144,0.908,0.0,0.6709999999999999,0.457,-5.254,0.184,133.063,11,4,"
I watch how the moon sits in the sky in the dark night
Shining with the light from the sun
The sun doesn't give light to the moon assuming
The moon's gonna owe it one
It makes me think of how you act to me
You do favors, then rapidly
Just turn around and start askin' me about
Things that you want back from me


I'm sick of the tension, sick of the hunger
Sick of you actin' like I owe you this
Find another place to feed your greed
While I find a place to rest


I wanna be in another place
I hate when you say you don't understand
(You'll see it's not meant to be)
I wanna be in the energy, not with the enemy
A place for my head


Maybe someday, I'll be just like you and
Step on people like you do and
Run away all the people I thought I knew
I remember back then who you were
You used to be calm, used to be strong
Used to be generous, but you shoulda known
That you'd wear out your welcome
And now, you see how quiet it is all alone


I'm so sick of the tension, sick of the hunger
Sick of you actin' like I owe you this
Find another place to feed your greed
While I find a place to rest
I'm so sick of the tension, sick of the hunger
Sick of you actin' like I owe you this
Find another place to feed your greed
While I find a place to rest


I wanna be in another place
I hate when you say you don't understand
(You'll see it's not meant to be)
I wanna be in the energy, not with the enemy
A place for my head


You try to take the best of me, go away
You try to take the best of me, go away
You try to take the best of me, go away
You try to take the best of me, go away


You try to take the best of me, go away
You try to take the best of me, go away
You try to take the best of me, go away
You try to take the best of me, go away


I wanna be in another place
I hate when you say you don't understand
(You'll see it's not meant to be)
I wanna be in the energy, not with the enemy
A place for my head


Stay away
I am so sick of the tension, sick of the hunger (Sick)
Sick of you actin' like I owe you this
Find another place to feed your greed (Go)
While I find a place to rest
I'm so sick of the tension, sick of the hunger (Why?)
Sick of you actin' like I owe you this
Find another place to feed your greed (Stay away from me)
While I find a place to rest",Energetic
ATTACK,A Beautiful Lie + 30 Seconds To Mars,Thirty Seconds To Mars,6QxTWEvzcJljVZaeTzuHF1,2007-05-15,0,189200,0.331,0.00344,0.8759999999999999,0.0008349999999999999,0.732,0.299,-1.894,0.0603,175.009,5,4,"
I won't suffer, be broken, get tired, or wasted
Surrender to nothing, or will give up what I
Started and stop this, from end to beginning
A new day is coming, and I am finally free


Run away, run away, I'll attack
Run away, run away, go chase yourself
Run away, run away now, I'll attack


I would've kept you, forever, but we had to sever
It ended for both of us, faster than a...
Kill off this thinking, it's starting to sink in
I'm losing control now, but without you I can finally see


Run away, run away, I'll attack
Run away, run away, go chase yourself
Run away, run away now, I'll attack


Your promises, they look like lies
Your honesty, like a back that hides a knife
I promise you, I promise you
I am finally free


Run away, run away, I'll attack
Run away, run away, go chase yourself
Run away, run away now, I'll attack
I will attack


Your promises
I promise you, I promise you",Energetic
Afraid of Heights,Afraid of Heights,Billy Talent,0P44AUPRzaIAHNWquN0fGR,2016-07-29,38,225680,0.5429999999999999,0.000168,0.991,1.31e-05,0.374,0.7659999999999999,-2.78,0.0668,150.031,9,4,"
Wherever I go, wherever I go
I have to question the hand that I hold close
Wherever I go, wherever I go
I have to silence the words that you fear most

Don't ever let go, don't ever let go
Are we destined to hit the ground below?
Don't ever let go, don't ever let go
We're at the end of a burning tightrope


Now I'm waiting on the corner in the back of your mind
It's a lonely place to live, and I got nowhere to hide
Cause you told me that you'd never be afraid of heights again
Nobody ever thought that we could make it this high
You're the only one I'd follow 'til the end of time
If we fall, we fall together baby, don't think twice again


Together I know, together I know
That we'd burn like a rocket's afterglow
Together I know, together I know
We could conquer the stars beyond this world

We let it all go, we let it all go
I'm just a voice on a broken radio
We let it all go, we let it all go
We got lost in the constellations


Now I'm waiting on the corner in the back of your mind
It's a lonely place to live, and I got nowhere to hide
Cause you told me that you'd never be afraid of heights again
Nobody ever thought that we could make it this high
You're the only one I'd follow 'til the end of time
If we fall, we fall together baby, don't think twice again
(Don't think twice again again )


And after all of these years, and all of this time
Darling, if I'm still a question in your mind
Well just say the words and this will end
Yeah!


You told me that you'd never be afraid of heights
You told me that you'd never be afraid of heights
You told me that you'd never be afraid of heights again
You told me that you'd never be afraid of heights
You told me that you'd never be afraid of heights
If we fall, we fall together baby, don't think twice again


Wherever I go, wherever I go
I hear your voice on a broken radio
Wherever I go, wherever I go
I know we'll burn like a rocket's afterglow
Don't ever let go, don't ever let go
So are we destined to hit the ground below?
Don't ever let go, don't ever let go
Are we just watching the final chapter close?",Energetic
Africa,Toto IV,TOTO,2374M0fQpWi3dLnB54qaLX,1982-04-08,84,295893,0.6709999999999999,0.257,0.373,7.950000000000001e-05,0.0481,0.732,-18.064,0.0323,92.717,9,4,"
I hear the drums echoing tonight
But she hears only whispers of some quiet conversation
She's coming in, 12:30 flight
Her moonlit wings reflect the stars that guide me towards salvation
I stopped an old man along the way
Hoping to find some old forgotten words or ancient melodies
He turned to me as if to say
""Hurry boy, it's waiting there for you""


It's gonna take a lot to drag me away from you
There's nothing that a hundred men or more could ever do
I bless the rains down in Africa
Gonna take some time to do the things we never had


The wild dogs cry out in the night
As they grow restless longing for some solitary company
I know that I must do what's right
As sure as Kilimanjaro rises like Olympus above the Serengeti
I seek to cure what's deep inside
Frightened of this thing that I've become


It's gonna take a lot to drag me away from you
There's nothing that a hundred men or more could ever do
I bless the rains down in Africa
Gonna take some time to do the things we never had


Hurry boy, she's waiting there for you


It's gonna take a lot to drag me away from you
There's nothing that a hundred men or more could ever do
I bless the rains down in Africa
I bless the rains down in Africa
I bless the rains down in Africa
I bless the rains down in Africa
I bless the rains down in Africa
Gonna take some time to do the things we never had",Happy
After The Rain,After The Rain,Comet Blue,2XBc2jWnvPqNO2LebVtLaY,2020-08-03,24,116625,0.456,0.993,0.0337,0.948,0.126,0.3,-26.87,0.0334,97.199,0,4,"
After the rain falls
I feel in my bones
The end of a season
I'm here on my own
Oh, let it pour down
And baptize my mind
Cause I've had it twisted
I've been stuck on rewind
Feel so locked in yesterday
Can't seem to shake it off
I wish that it would wash away
But it just keeps holding on


So open the flood gates
And welcome the storm


Oh, what a rain that would be
Oh, let it fall down on me
I think it's time to come clean
I feel the sweetest release
Like I can finally breathe
Oh, what a rain that would be


After the rain falls
We'll find it here
As it soaks in the hard ground
It's suddenly clear
Well oh, let it pour down
Soak into my soul
As the water runs over
All the things that we broke
Here the sound of the distant radio
It's been playing all along
So I keep dancing in the rain 'til I start feeling strong


So open the flood gates
And welcome the storm


Oh what a rain that would be
Oh, let it fall down on me
I think it's time to come clean
I feel the sweetest release
Like I can finally breathe
Oh what a rain that would be


Fall down and cover my skin
Oh, oh, I'm sensing the change in the wind
Cause blue skies come after the rain
Oh yeah, I'm happy again
Oh, let it fall down and cover my skin
I'm sensing the change in the wind
Cause blue skies come after the rain
Oh yeah, I'm happy again",Calm
